iter	Passed	Remaining
411	4382	6254
412	4390	6240
413	4400	6228
414	4408	6214
415	4416	6200
416	4425	6186
417	4435	6175
418	4447	6167
419	4457	6155
420	4465	6140
421	4474	6129
422	4482	6113
423	4493	6104
424	4501	6090
425	4511	6079
426	4520	6065
427	4530	6054
428	4540	6043
429	4546	6027
430	4556	6015
431	4564	6001
432	4575	5992
433	4585	5980
434	4593	5966
435	4604	5955
436	4611	5941
437	4621	5929
438	4632	5919
439	4641	5906
440	4650	5894
441	4657	5880
442	4670	5872
443	4679	5859
444	4688	5846
445	4696	5833
446	4703	5818
447	4711	5804
448	4720	5792
449	4733	5785
450	4739	5769
451	4748	5756
452	4757	5744
453	4770	5736
454	4778	5724
455	4792	5717
456	4803	5707
457	4814	5696
458	4827	5690
459	4841	5682
460	4851	5672
461	4862	5661
462	4873	5652
463	4883	5640
464	4893	5629
465	4903	5618
466	4914	5608
467	4926	5600
468	4939	5592
469	4949	5581
470	4961	5571
471	4969	5558
472	4979	5547
473	4988	5536
474	4996	5522
475	5004	5509
476	5016	5500
477	5026	5488
478	5036	5477
479	5046	5466
480	5058	5458
481	5066	5445
482	5077	5434
483	5086	5422
484	5095	5411
485	5108	5402
486	5117	5391
487	5129	5381
488	5139	5370
489	5147	5358
490	5158	5347
491	5172	5340
492	5181	5328
493	5193	5319
494	5205	5310
495	5215	5299
496	5229	5292
497	5238	5280
498	5251	5272
499	5261	5261
500	5272	5251
501	5283	5241
502	5292	5229
503	5300	5216
504	5309	5204
505	5319	5193
506	5330	5183
507	5339	5171
508	5349	5160
509	5359	5149
510	5367	5136
511	5378	5126
512	5393	5120
513	5405	5111
514	5421	5105
515	5429	5092
516	5438	5080
517	5445	5066
518	5455	5056
519	5463	5042
520	5472	5031
521	5481	5019
522	5491	5008
523	5501	4997
524	5511	4986
525	5522	4976
526	5530	4963
527	5540	4952
528	5550	4941
529	5558	4929
530	5570	4919
531	5577	4906
532	5587	4895
533	5596	4883
534	5605	4871
535	5617	4863
536	5625	4850
537	5637	4841
538	5645	4828
539	5656	4818
540	5667	4808
541	5674	4795
542	5684	4784
543	5693	4772
544	5705	4763
545	5716	4753
546	5724	4740
547	5732	4728
548	5741	4716
549	5750	4704
550	5760	4694
551	5768	4681
552	5778	4671
553	5786	4658
554	5795	4646
555	5808	4638
556	5815	4625
557	5825	4614
558	5832	4601
559	5845	4592
560	5853	4580
561	5861	4568
562	5870	4556
563	5878	4544
564	5886	4532
565	5897	4522
566	5908	4511
567	5916	4500
568	5925	4488
569	5934	4476
570	5943	4465
571	5952	4453
572	5959	4441
573	5969	4430
574	5976	4417
575	5989	4408
576	5997	4396
577	6006	4385
578	6019	4376
579	6027	4364
580	6038	4354
581	6047	4343
582	6055	4331
583	6065	4320
584	6072	4308
585	6084	4298
586	6092	4286
587	6101	4275
588	6112	4265
589	6120	4253
590	6137	4247
591	6147	4236
592	6156	4225
593	6165	4214
594	6175	4203
595	6185	4192
596	6194	4181
597	6207	4172
598	6215	4160
599	6225	4150
600	6233	4138
601	6243	4127
602	6249	4114
603	6260	4104
604	6267	4092
605	6278	4082
606	6286	4069
607	6295	4058
608	6306	4049
609	6313	4036
610	6326	4027
611	6335	4016
612	6346	4006
613	6360	3998
614	6377	3992
615	6387	3981
616	6404	3975
617	6417	3966
618	6428	3956
619	6460	3959
620	6508	3971
621	6558	3985
622	6607	3998
623	6635	3998
624	6682	4009
625	6724	4017
626	6821	4058
627	6836	4049
628	6854	4042
629	6883	4042
630	6913	4042
631	6956	4050
632	6976	4044
633	7014	4049
634	7114	4089
635	7134	4083
636	7194	4100
637	7219	4096
638	7263	4103
639	7284	4097
640	7314	4096
641	7332	4088
642	7396	4106
643	7412	4097
644	7427	4087
645	7440	4077
646	7448	4063
647	7459	4052
648	7472	4041
649	7481	4028
650	7492	4016
651	7504	4005
652	7514	3993
653	7528	3983
654	7544	3973
655	7559	3964
656	7574	3954
657	7588	3944
658	7603	3934
659	7618	3924
660	7637	3917
661	7652	3907
662	7661	3894
663	7675	3883
664	7688	3872
665	7696	3859
666	7706	3847
667	7717	3835
668	7727	3823
669	7739	3811
670	7753	3801
671	7765	3790
672	7775	3777
673	7790	3768
674	7815	3763
675	7830	3753
676	7846	3743
677	7862	3734
678	7883	3727
679	7901	3718
680	7918	3709
681	7934	3699
682	7947	3688
683	7955	3675
684	7965	3662
685	7975	3650
686	7983	3637
687	7994	3625
688	8001	3611
689	8013	3600
690	8024	3588
691	8034	3576
692	8047	3565
693	8061	3554
694	8074	3543
695	8084	3531
696	8100	3521
697	8115	3511
698	8132	3501
699	8147	3491
700	8162	3481
701	8175	3470
702	8186	3458
703	8196	3446
704	8211	3435
705	8222	3424
706	8231	3411
707	8242	3399
708	8252	3387
709	8260	3374
710	8271	3362
711	8279	3348
712	8290	3336
713	8299	3324
714	8307	3311
715	8316	3298
716	8326	3286
717	8341	3276
718	8356	3265
719	8368	3254
720	8377	3241
721	8391	3230
722	8406	3220
723	8421	3210
724	8438	3200
725	8453	3190
726	8469	3180
727	8485	3170
728	8499	3159
729	8511	3148
730	8522	3136
731	8535	3125
732	8545	3112
733	8553	3099
734	8565	3088
735	8574	3075
736	8582	3062
737	8591	3050
738	8599	3037
739	8609	3024
740	8618	3012
741	8629	3000
742	8636	2987
743	8648	2975
744	8659	2963
745	8667	2951
746	8681	2940
747	8694	2929
748	8707	2918
749	8724	2908
750	8738	2897
751	8749	2885
752	8764	2875
753	8779	2864
754	8796	2854
755	8811	2843
756	8824	2832
757	8837	2821
758	8846	2809
759	8859	2797
760	8869	2785
761	8878	2773
762	8890	2761
763	8899	2749
764	8908	2736
765	8920	2725
766	8935	2714
767	8945	2702
768	8958	2690
769	8973	2680
770	8990	2670
771	9006	2659
772	9023	2649
773	9042	2640
774	9056	2629
775	9075	2619
776	9090	2609
777	9107	2598
778	9124	2588
779	9138	2577
780	9149	2565
781	9158	2553
782	9169	2541
783	9180	2529
784	9188	2516
785	9201	2505
786	9212	2493
787	9229	2483
788	9243	2472
789	9253	2459
790	9265	2448
791	9275	2435
792	9284	2423
793	9296	2412
794	9305	2399
795	9314	2387
796	9325	2375
797	9334	2362
798	9346	2351
799	9355	2338
800	9363	2326
801	9374	2314
802	9388	2303
803	9398	2291
804	9412	2279
805	9427	2269
806	9438	2257
807	9449	2245
808	9459	2233
809	9473	2222
810	9485	2210
811	9498	2199
812	9510	2187
813	9524	2176
814	9540	2165
815	9551	2153
816	9563	2142
817	9573	2130
818	9586	2118
819	9597	2106
820	9610	2095
821	9620	2083
822	9633	2071
823	9641	2059
824	9651	2047
825	9661	2035
826	9668	2022
827	9678	2010
828	9685	1997
829	9695	1985
830	9703	1973
831	9715	1961
832	9725	1949
833	9734	1937
834	9743	1925
835	9750	1912
836	9762	1901
837	9770	1888
838	9781	1877
839	9792	1865
840	9805	1853
841	9816	1841
842	9829	1830
843	9841	1819
844	9850	1806
845	9863	1795
846	9875	1783
847	9886	1772
848	9898	1760
849	9922	1751
850	9932	1739
851	9944	1727
852	9957	1715
853	9967	1704
854	9976	1691
855	9988	1680
856	10000	1668
857	10010	1656
858	10024	1645
859	10036	1633
860	10047	1622
861	10059	1610
862	10074	1599
863	10088	1588
864	10102	1576
865	10118	1565
866	10131	1554
867	10143	1542
868	10157	1531
869	10171	1519
870	10183	1508
871	10195	1496
872	10207	1484
873	10220	1473
874	10230	1461
875	10237	1449
876	10249	1437
877	10260	1425
878	10270	1413
879	10282	1402
880	10293	1390
881	10305	1378
882	10318	1367
883	10332	1355
884	10345	1344
885	10358	1332
886	10372	1321
887	10384	1309
888	10405	1299
889	10417	1287
890	10431	1276
891	10444	1264
892	10456	1252
893	10465	1240
894	10477	1229
895	10488	1217
896	10503	1206
897	10514	1194
898	10528	1182
899	10538	1170
900	10546	1158
901	10555	1146
902	10562	1134
903	10573	1122
904	10580	1110
905	10591	1098
906	10602	1087
907	10609	1074
908	10619	1063
909	10626	1050
910	10637	1039
911	10644	1027
912	10655	1015
913	10663	1003
914	10671	991
915	10681	979
916	10690	967
917	10701	955
918	10709	943
919	10719	932
920	10729	920
921	10737	908
922	10751	896
923	10761	885
924	10772	873
925	10787	862
926	10801	850
927	10813	838
928	10821	827
929	10835	815
930	10848	804
931	10861	792
932	10875	780
933	10893	769
934	10903	757
935	10916	746
936	10929	734
937	10938	722
938	10947	711
939	10959	699
940	10970	687
941	10981	676
942	10993	664
943	11007	652
944	11014	641
945	11026	629
946	11034	617
947	11042	605
948	11051	593
949	11059	582
950	11081	570
951	11091	559
952	11101	547
953	11109	535
954	11120	523
955	11127	512
956	11139	500
957	11148	488
958	11157	477
959	11168	465
960	11177	453
961	11189	441
