iter	Logloss
0	0.6760129452
1	0.6600443363
2	0.6444083214
3	0.630815506
4	0.615866375
5	0.6046870232
6	0.5922147274
7	0.578985548
8	0.568480587
9	0.558036232
10	0.5477611542
11	0.537653017
12	0.529062748
13	0.5198241234
14	0.5130571842
15	0.5088942528
16	0.5017346382
17	0.4942418575
18	0.4879364967
19	0.4809470654
20	0.4741401672
21	0.4677278042
22	0.4626071453
23	0.4566372871
24	0.4518378258
25	0.4466687202
26	0.4417401314
27	0.4367756367
28	0.4329427242
29	0.4282030582
30	0.4235825539
31	0.4201045036
32	0.4172031403
33	0.4140396118
34	0.4104141235
35	0.4074848652
36	0.4052554607
37	0.4026571274
38	0.3996091843
39	0.3975826979
40	0.3949124098
41	0.3928526402
42	0.3902348995
43	0.3885114431
44	0.3861789465
45	0.3837644339
46	0.3826055527
47	0.3809773922
48	0.3788859606
49	0.3767930984
50	0.3748555183
51	0.3728523254
52	0.371462059
53	0.3702052593
54	0.3686931133
55	0.3672842264
56	0.3659584045
57	0.3647811413
58	0.3634323597
59	0.3624286175
60	0.3610841751
61	0.359941268
62	0.3590136528
63	0.3579427958
64	0.3570161343
65	0.3566184044
66	0.3555856705
67	0.3545908213
68	0.3537721395
69	0.3529138565
70	0.3521287441
71	0.3511285782
72	0.3500768185
73	0.3494400978
74	0.3486846924
75	0.3481435299
76	0.3474168777
77	0.3467122555
78	0.3460187912
79	0.3453875303
80	0.3447682858
81	0.343842411
82	0.3430953503
83	0.3425172567
84	0.3421100378
85	0.341319561
86	0.3406122923
87	0.3399555206
88	0.3393971205
89	0.3389470577
90	0.338253355
91	0.3376678944
92	0.337068224
93	0.3366373062
94	0.335945344
95	0.3354851246
96	0.3348959684
97	0.3344232559
98	0.3338561535
99	0.3333372593
100	0.3328964233
101	0.3323923588
102	0.3321367025
103	0.3317608595
104	0.3312536716
105	0.3308014393
106	0.3304257631
107	0.3299602985
108	0.3296971798
109	0.329195714
110	0.3288435936
111	0.3284791708
112	0.3281750202
113	0.3277375698
114	0.3274240971
115	0.3270854473
116	0.3266387939
117	0.3261615038
118	0.3258421659
119	0.3255123138
120	0.325212574
121	0.3247478247
122	0.3244950294
123	0.3242446184
124	0.3239825249
125	0.3236782789
126	0.323370409
127	0.3230761051
128	0.3227115154
129	0.3222949982
130	0.3218532562
131	0.3215739965
132	0.3214080334
133	0.3210328102
134	0.3207692623
135	0.3205235958
136	0.3203177452
137	0.3200163364
138	0.3198068619
139	0.319408083
140	0.3192355156
141	0.319047761
142	0.3186603069
143	0.318382597
